raw_smiles,dataset,max_tanimoto_to_corpus_full,n_corpus_identical,n_corpus_neardup_0p95
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,ESOL,0.8393,0,0
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,ESOL,1.0000,100,11
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,ESOL,1.0000,2,0
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,ESOL,0.5000,0,0
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,ESOL,0.7059,0,0
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,ESOL,0.9688,0,1
C1SC(=S)NC1(=O),ESOL,0.9474,0,0
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,ESOL,0.9667,0,1
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,ESOL,1.0000,4,0
CC(=O)Nc1nnc(s1)S(N)(=O)=O,ESOL,0.9655,0,2
CC1=C(SCCO1)C(=O)Nc2ccccc2,ESOL,0.8947,0,0
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,ESOL,0.7647,0,0
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,ESOL,1.0000,1,0
Nc1nccs1,ESOL,0.9375,0,0
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,ESOL,0.7353,0,0
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,ESOL,1.0000,3,0
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,ESOL,0.8235,0,0
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,ESOL,0.8070,0,0
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,ESOL,1.0000,1,0
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,ESOL,0.3958,0,0
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,ESOL,1.0000,14,1
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,ESOL,0.9057,0,0
o1c2ccccc2c3ccccc13,ESOL,0.9333,0,0
O=C(Nc1ccccc1)Nc2ccccc2,ESOL,1.0000,1,0
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,ESOL,1.0000,1,1
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,ESOL,0.6905,0,0
c1cnc2c(c1)ccc3ncccc23,ESOL,0.9583,0,6
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,ESOL,1.0000,13,2
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,ESOL,0.5263,0,0
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,ESOL,1.0000,2,0
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,ESOL,0.6923,0,0
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,ESOL,0.7778,0,0
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,ESOL,0.7600,0,0
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,ESOL,1.0000,2,0
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34,ESOL,0.7609,0,0
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,ESOL,0.9286,0,0
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,ESOL,1.0000,18,1
O=c1[nH]cnc2nc[nH]c12,ESOL,0.9474,0,0
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,ESOL,0.3784,0,0
Cc1ccccc1n3c(C)nc2ccccc2c3=O,ESOL,0.8056,0,0
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,ESOL,0.9500,0,1
CCC1(CCC(=O)NC1=O)c2ccccc2,ESOL,0.6923,0,0
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,ESOL,1.0000,3,0
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,ESOL,1.0000,9,1
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,ESOL,0.8333,0,0
CSc1nnc(c(=O)n1N)C(C)(C)C,ESOL,0.9310,0,0
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,ESOL,1.0000,4,0
O=C2NC(=O)C1(CC1)C(=O)N2,ESOL,0.7778,0,0
C1Cc2ccccc2C1,ESOL,0.9286,0,0
c1ccc2cnccc2c1,ESOL,1.0000,1,0
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,ESOL,0.7556,0,0
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),ESOL,1.0000,1,0
C1OC1c2ccccc2,ESOL,1.0000,3,0
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,ESOL,1.0000,1,0
c1ccc2c(c1)c3cccc4cccc2c34,ESOL,0.8750,0,0
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,ESOL,1.0000,2,0
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,ESOL,0.8654,0,0
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,ESOL,0.9744,0,1
NC(=O)c1cnccn1,ESOL,1.0000,1,0
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,ESOL,0.6222,0,0
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,ESOL,0.6250,0,0
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,ESOL,0.6190,0,0
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,ESOL,1.0000,1,2
O=C2NC(=O)C1(CCC1)C(=O)N2,ESOL,0.8889,0,0
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,ESOL,0.6667,0,0
N(c1ccccc1)c2ccccc2,ESOL,0.9231,0,0
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,ESOL,0.7727,0,0
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,ESOL,0.5750,0,0
CCC1(C(=O)NCNC1=O)c2ccccc2,ESOL,0.9643,0,1
O=C1CCCN1,ESOL,0.9375,0,0
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,ESOL,1.0000,2,0
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,ESOL,1.0000,4,0
c1ccsc1,ESOL,1.0000,2,0
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,ESOL,1.0000,1,0
Cc1occc1C(=O)Nc2ccccc2,ESOL,0.7143,0,0
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,ESOL,1.0000,12,0
[H]N1C([H])([H])[C@@]1([H])[C@]1([H])N([H])C1([H])[H],QM7,1.0000,1,0
[H]N1C([H])([H])[C@]1([H])[C@]1([H])N(C([H])([H])[H])C1([H])[H],QM7,0.5000,0,0
[H]N1C([H])([H])[C@@]1(C([H])([H])[H])[C@]1([H])N([H])C1([H])[H],QM7,0.5000,0,0
[H]N1[C@]([H])([C@]2([H])N([H])C2([H])[H])[C@@]1([H])C([H])([H])[H],QM7,1.0000,1,0
[H]C1=NN=C([H])C([H])([H])C1([H])[H],QM7,0.4286,0,0
[H]O[C@@]1([H])C([H])=NN=C([H])C1([H])[H],QM7,0.4783,0,0
[H]C1=NN=C([H])[C@]([H])(C([H])([H])[H])C1([H])[H],QM7,0.5500,0,0
[H]C1=NN=C(C([H])([H])[H])C([H])([H])C1([H])[H],QM7,1.0000,1,0
[H]c1nnc([H])c([H])c1[H],QM7,1.0000,1,0
[H]Oc1nnc([H])c([H])c1[H],QM7,0.4800,0,0
[H]c1nnc(C([H])([H])[H])c([H])c1[H],QM7,0.9444,0,0
[H]c1nnc([H])c(C([H])([H])[H])c1[H],QM7,0.8421,0,0
[H]N1C([H])([H])[C@]([H])(C([H])([H])[H])S1(=O)=O,QM7,1.0000,1,0
[H]N1[C@@]([H])(C([H])([H])[H])C([H])([H])S1(=O)=O,QM7,0.6000,0,0
[H]C([H])([H])N1C([H])([H])C([H])([H])S1(=O)=O,QM7,0.6000,0,0
[H]c1c(C([H])([H])[H])sc(=O)n1[H],QM7,0.5455,0,0
[H]c1sc(=O)n([H])c1C([H])([H])[H],QM7,0.4483,0,0
[H]c1sc(=O)n(C([H])([H])[H])c1[H],QM7,0.5000,0,0
[H]c1c(C([H])([H])[H])n([H])sc1=O,QM7,0.4783,0,0
[H]c1c(C([H])([H])[H])c(=O)sn1[H],QM7,0.5000,0,0
[H]c1c([H])n(C([H])([H])[H])sc1=O,QM7,0.5000,0,0
[H]c1c(C([H])([H])[H])sn([H])c1=O,QM7,0.5000,0,0
[H]c1sn([H])c(=O)c1C([H])([H])[H],QM7,0.5000,0,0
[H]c1sn(C([H])([H])[H])c(=O)c1[H],QM7,0.6207,0,0
[H]/N=c1/sn([H])c(C([H])([H])[H])c1[H],QM7,0.2692,0,0
[H]/N=c1/sn([H])c([H])c1C([H])([H])[H],QM7,0.4348,0,0
[H]c1c([H])n([H])s/c1=N\C([H])([H])[H],QM7,0.3226,0,0
[H]C1([H])ON=C(C([H])([H])[H])C([H])([H])O1,QM7,0.4545,0,0
[H]C1=NO[C@]([H])(C([H])([H])[H])OC1([H])[H],QM7,0.3929,0,0
[H]C1=NOC([H])([H])O[C@@]1([H])C([H])([H])[H],QM7,0.4400,0,0
[H]C1=NN=C(C([H])([H])[H])OC1([H])[H],QM7,0.4333,0,0
[H]C1=NN=C(C([H])([H])[H])C([H])([H])O1,QM7,0.4828,0,0
[H]C1=NN=C([H])[C@]([H])(C([H])([H])[H])O1,QM7,0.4000,0,0
[H]N1C(=O)C([H])([H])N=C1C([H])([H])[H],QM7,0.6207,0,0
[H]C1=N[C@]([H])(C([H])([H])[H])C(=O)N1[H],QM7,0.5200,0,0
[H]C1=NC([H])([H])C(=O)N1C([H])([H])[H],QM7,0.5556,0,0
[H]C1=NO[C@]([H])(C([H])([H])[H])C([H])([H])O1,QM7,0.4231,0,0
[H]C1=NOC([H])([H])[C@@]([H])(C([H])([H])[H])O1,QM7,0.4400,0,0
[H]C([H])([H])C1=NOC([H])([H])C([H])([H])O1,QM7,1.0000,1,0
[H]C1=NN([H])C(=O)[C@@]1([H])C([H])([H])[H],QM7,1.0000,1,0
[H]N1N=C(C([H])([H])[H])C([H])([H])C1=O,QM7,1.0000,1,0
[H]C1=NN(C([H])([H])[H])C(=O)C1([H])[H],QM7,0.5200,0,0
[H][N][C]1OC(C([H])([H])[H])=C([H])N1[H],QM7,0.4138,0,0
[H][N][C]1OC([H])=C(C([H])([H])[H])N1[H],QM7,0.4000,0,0
[H][N][C]1OC([H])=C([H])N1C([H])([H])[H],QM7,0.3871,0,0
[H]N1C(=O)O[C@@]([H])(C([H])([H])[H])C1([H])[H],QM7,1.0000,2,0
[H]N1C(=O)OC([H])([H])[C@]1([H])C([H])([H])[H],QM7,1.0000,1,1
[H]C([H])([H])N1C(=O)OC([H])([H])C1([H])[H],QM7,1.0000,1,0
[H]c1c(C([H])([H])[H])oc(=O)n1[H],QM7,0.5000,0,0
[H]c1oc(=O)n([H])c1C([H])([H])[H],QM7,0.5000,0,0
[H]c1oc(=O)n(C([H])([H])[H])c1[H],QM7,0.5185,0,0
[H][N][C]1O[C@@]([H])(C([H])([H])[H])C([H])([H])N1[H],QM7,0.5200,0,0
[H][N][C]1OC([H])([H])[C@]([H])(C([H])([H])[H])N1[H],QM7,0.5200,0,0
[H][N][C]1OC([H])([H])C([H])([H])N1C([H])([H])[H],QM7,0.5000,0,0
[H]C1=NC([H])([H])[C@]([H])(C([H])([H])[H])ON1[H],QM7,0.4231,0,0
[H]N1OC([H])([H])C([H])([H])N=C1C([H])([H])[H],QM7,0.4000,0,0
[H]C1=NC([H])([H])C([H])([H])ON1C([H])([H])[H],QM7,0.3704,0,0
[H]c1c(C([H])([H])[H])n([H])oc1=O,QM7,0.4800,0,0
[H]c1c(C([H])([H])[H])c(=O)on1[H],QM7,0.5172,0,0
[H]c1c([H])n(C([H])([H])[H])oc1=O,QM7,0.4194,0,0
[H]N1O[C@@]([H])(C([H])([H])[H])C([H])([H])C1=O,QM7,0.9500,0,1
[H]N1OC([H])([H])[C@]([H])(C([H])([H])[H])C1=O,QM7,0.9500,0,1
[H]C([H])([H])N1OC([H])([H])C([H])([H])C1=O,QM7,0.7273,0,0
[H]c1c(C([H])([H])[H])on([H])c1=O,QM7,0.6429,0,0
[H]c1on([H])c(=O)c1C([H])([H])[H],QM7,0.6207,0,0
[H]c1on(C([H])([H])[H])c(=O)c1[H],QM7,1.0000,1,0
[H]C1([H])OC([H])([H])[C@@]2([H])O[C@@]12[H],QM7,1.0000,1,0
[H]C([H])([H])[C@]12O[C@@]1([H])C([H])([H])OC2([H])[H],QM7,0.6667,0,0
[H]C([H])([H])[C@@]1([H])OC([H])([H])[C@@]2([H])O[C@@]12[H],QM7,0.6522,0,0
[H]C1([H])O[C@]1([H])[C@]1([H])OC1([H])[H],QM7,0.6154,0,0
[H]C([H])([H])[C@]1([C@]2([H])OC2([H])[H])OC1([H])[H],QM7,1.0000,1,0
[H]C([H])([H])[C@@]1([H])O[C@]1([H])[C@]1([H])OC1([H])[H],QM7,0.7500,0,0
[H]C1=C([H])OC([H])([H])C([H])([H])O1,QM7,1.0000,1,0
[H]C1=C(C([H])([H])[H])OC([H])([H])C([H])([H])O1,QM7,0.5455,0,0
[H]C1=C([H])O[C@]([H])(C([H])([H])[H])C([H])([H])O1,QM7,1.0000,1,0
[H]C1=NN=C([H])C1=C([H])[H],QM7,0.3750,0,0
[H]OC([H])=C1C([H])=NN=C1[H],QM7,0.3158,0,0
[H]C1=NN=C(C([H])([H])[H])C1=C([H])[H],QM7,0.3333,0,0
[H]N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],QM7,1.0000,2,0
[H]N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],QM7,1.0000,4,0
[H]N1C([H])([H])C([H])([H])N([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],QM7,0.9375,0,0
[H]N1C([H])([H])S(=O)(=O)[C@@]1([H])C([H])([H])[H],QM7,0.4400,0,0
[H]C([H])([H])N1C([H])([H])S(=O)(=O)C1([H])[H],QM7,0.4706,0,0
[H]C([H])([H])[C@@]1([H])C([H])([H])OS1([O])[O],QM7,0.4000,0,0
[H]C([H])([H])[C@]1([H])OS([O])([O])C1([H])[H],QM7,0.5789,0,0
[H][N][C]1SC(C([H])([H])[H])=C([H])N1[H],QM7,0.3077,0,0
[H][N][C]1SC([H])=C(C([H])([H])[H])N1[H],QM7,0.4545,0,0
[H]N1C(=S)N([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],QM7,1.0000,1,0
[H]N1C(=S)N(C([H])([H])[H])C([H])([H])C1([H])[H],QM7,0.6429,0,0
[H]C1=C([H])C([H])([H])O/C1=N/N([H])[H],QM7,0.6364,0,0
[H]O/N=C1/OC([H])([H])C([H])=C1[H],QM7,0.6364,0,0
[H]C1=C([H])/C(=N\N([H])[H])C([H])([H])O1,QM7,0.4000,0,0
[H]O/N=C1\C([H])=C([H])OC1([H])[H],QM7,0.6000,0,0
[H]N([H])/N=C1/C([H])([H])OC([H])([H])C1([H])[H],QM7,1.0000,1,0
[H]O/N=C1/C([H])([H])OC([H])([H])C1([H])[H],QM7,0.7273,0,0
[H]C1=C([H])C([H])([H])/C(=N/N([H])[H])O1,QM7,0.5357,0,0
[H]O/N=C1\OC([H])=C([H])C1([H])[H],QM7,0.5000,0,0
[H]N([H])/N=C1/OC([H])([H])C([H])([H])C1([H])[H],QM7,0.5652,0,0
[H]O/N=C1/OC([H])([H])C([H])([H])C1([H])[H],QM7,1.0000,1,0
[H][N][C]([H])N1OC([H])([H])C([H])=C1[H],QM7,0.4000,0,0
[H]C(=O)N1OC([H])([H])C([H])=C1[H],QM7,0.4000,0,0
[H][N][C]([H])N1OC([H])([H])C([H])([H])C1([H])[H],QM7,0.4615,0,0
[H]C(=O)N1OC([H])([H])C([H])([H])C1([H])[H],QM7,0.4615,0,0
[H]C1=NOC([H])([H])[C@@]([H])(C([H])([H])[H])N1[H],QM7,0.4231,0,0
[H]C1=NOC([H])([H])C([H])([H])N1C([H])([H])[H],QM7,0.3571,0,0
[H]/N=C1/N([H])OC([H])([H])[C@]1([H])C([H])([H])[H],QM7,0.4483,0,0
[H]N1OC([H])([H])C([H])([H])/C1=N\C([H])([H])[H],QM7,1.0000,1,0
[H]C1=NOC(=O)[C@@]1([H])C([H])([H])[H],QM7,0.3704,0,0
[H]C([H])([H])C1=NOC(=O)C1([H])[H],QM7,1.0000,1,0
[H]c1c(C([H])([H])[H])n([H])c(=O)n1[H],QM7,0.5909,0,0
[H]c1c([H])n(C([H])([H])[H])c(=O)n1[H],QM7,0.6957,0,0
[H]N1C(=O)N([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],QM7,1.0000,3,0
[H]N1C(=O)N(C([H])([H])[H])C([H])([H])C1([H])[H],QM7,0.8095,0,0
[H]/N=c1/on([H])c(C([H])([H])[H])c1[H],QM7,0.2647,0,0
[H]/N=c1/on([H])c([H])c1C([H])([H])[H],QM7,0.3462,0,0
[H][N][C]1N([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],QM7,0.5000,0,0
[H][N][C]1N(C([H])([H])[H])OC([H])([H])C1([H])[H],QM7,0.4074,0,0
[H]C1=C([H])C([H])([H])C([H])([H])/C1=N/N([H])[H],QM7,0.5600,0,0
[H]O/N=C1\C([H])=C([H])C([H])([H])C1([H])[H],QM7,0.6957,0,0
[H]C1=C([H])C([H])([H])C(=NN([H])[H])C1([H])[H],QM7,0.4211,0,0
[H]ON=C1C([H])([H])C([H])=C([H])C1([H])[H],QM7,0.4167,0,0
[H]C1=C([H])C([H])=C([H])C1=NN([H])[H],QM7,0.3846,0,0
[H]ON=C1C([H])=C([H])C([H])=C1[H],QM7,0.4000,0,0
[H]N([H])N=C1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],QM7,1.0000,1,0
[H]ON=C1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],QM7,0.9286,0,0
[H]C1=C([H])C([H])([H])N([H])/C1=N/C([H])([H])[H],QM7,0.4643,0,0
[H]O/N=C1\C([H])=C([H])C([H])([H])N1[H],QM7,0.3704,0,0
[H]C1=C([H])OC([H])=C([H])O1,QM7,1.0000,1,0
[H]C1=C([H])OC(C([H])([H])[H])=C([H])O1,QM7,0.5625,0,0
[H]C1([H])OC([H])([H])C([H])([H])OC1([H])[H],QM7,1.0000,6,0
[H]C1([H])OC([H])([H])[C@]([H])(C([H])([H])[H])OC1([H])[H],QM7,1.0000,1,0
[H]C1([H])C([H])([H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],QM7,0.9000,0,0
[H]C([H])=C1C(=C([H])[H])C([H])([H])C([H])([H])C1([H])[H],QM7,0.6250,0,0
[H]C([H])=C1C([H])=C([H])C([H])([H])C1=C([H])[H],QM7,0.5652,0,0
[H]C([H])=C1C([H])=C([H])[C@@]2([H])C([H])([H])[C@@]12[H],QM7,0.5000,0,0
[H]C1([H])C([H])([H])C([H])(C2([H])C([H])([H])C2([H])[H])C1([H])[H],QM7,1.0000,1,0
[H]C([H])=C1C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[C@@]12[H],QM7,0.6522,0,0
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]2([H])C1([H])[H],QM7,1.0000,1,0
[H]C([H])=C1C([H])([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H],QM7,0.5556,0,0
[H]C([H])=C1C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],QM7,0.5909,0,0
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],QM7,0.9091,0,0
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],QM7,1.0000,21,0
[H]C1=NN([H])C([H])([H])C(=C([H])[H])C1([H])[H],QM7,0.4074,0,0
[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C([H])C1([H])[H],QM7,1.0000,6,0
[H]C1=NN2C([H])([H])[C@@]2([H])C1=C([H])[H],QM7,0.3243,0,0
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C1[H],QM7,0.9091,0,0
[H]/N=C1/N([H])C([H])([H])C(=C([H])[H])C1([H])[H],QM7,0.3462,0,0
[H]C1=NC([H])([H])C(=C([H])[H])C([H])([H])N1[H],QM7,0.4483,0,0
[H]C1=C([H])C([H])=C([H])C([H])([H])C([H])=C1[H],QM7,1.0000,8,0
[H]C([H])=C1C([H])=C([H])C([H])([H])N([H])C1([H])[H],QM7,0.3704,0,0
[H]C1=C([H])C([H])([H])[C@@]2([H])C([H])([H])[C@]2([H])C1([H])[H],QM7,0.6111,0,0
[H]C([H])=C1C(=C([H])[H])C([H])([H])N([H])C1([H])[H],QM7,0.5000,0,0
[H]C([H])=C1C([H])([H])N([H])[C@@]2([H])C([H])([H])[C@@]12[H],QM7,0.3793,0,0
[H]C1=C([H])[C@]2([H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H],QM7,0.6250,0,0
[H]C1=C([H])[C@]2([H])C([H])([H])C([H])([H])[C@]2([H])C1([H])[H],QM7,1.0000,1,0
[H]C([H])=C1C([H])([H])N2C([H])([H])C1([H])C2([H])[H],QM7,0.6087,0,0
[H]C1=C([H])[C@]2([H])C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],QM7,1.0000,1,0
[H]C1=C([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]1([H])C2([H])[H],QM7,0.8462,0,0
[H]C1=NN([H])C([H])([H])C([H])([H])C1=C([H])[H],QM7,0.3448,0,0
[H]C1=NN=C([H])C([H])([H])C1=C([H])[H],QM7,0.3846,0,0
[H]C1=C([H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],QM7,0.6667,0,0
[H]N1C(=S)N([H])C([H])([H])C([H])([H])C1([H])[H],QM7,0.8667,0,0
[H]C1=C([H])C([H])([H])N([H])C(=S)N1[H],QM7,0.5000,0,0
[H]N1C(=S)N2C([H])([H])[C@]2([H])C1([H])[H],QM7,0.4211,0,0
[H]N1C(=S)N([H])[C@]2([H])C([H])([H])[C@]12[H],QM7,0.5789,0,0
[H]C1=C([H])S([O])([O])OC1([H])[H],QM7,0.3667,0,0
[H]C1=C([H])S(=O)(=O)N([H])C1([H])[H],QM7,0.4667,0,0
[H]C1([H])OC([H])([H])S(=O)(=O)C1([H])[H],QM7,0.5238,0,0
[H]N1C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H],QM7,1.0000,1,0
[H]C1([H])OS([O])([O])C([H])([H])C1([H])[H],QM7,0.5000,0,0
[H]C1=C([H])C([H])([H])S([O])([O])O1,QM7,0.2727,0,0
[H]N1C([H])([H])C([H])([H])C([H])([H])S1(=O)=O,QM7,0.8235,0,0
[H]C1=C([H])C([H])([H])S(=O)(=O)N1[H],QM7,0.3333,0,0
[H]C1=NS(=O)(=O)C([H])=C1[H],QM7,0.7778,0,0
[H]C1([H])C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H],QM7,1.0000,1,0
[H]C1=C([H])S(=O)(=O)C([H])([H])C1([H])[H],QM7,0.4737,0,0
[H]C1=C([H])C([H])([H])S(=O)(=O)C1([H])[H],QM7,0.9167,0,0
[H]C1=C([H])S(=O)(=O)C([H])=C1[H],QM7,0.7000,0,0
